time,latitude,longitude,depth,mag,place
2021-11-06T00:56:44.076Z,-7.4778,128.0654,141.09,4.2,"164 km NE of Lospalos, Timor Leste"
2021-11-06T02:04:17.419Z,-21.5648,-68.5444,127.95,4.1,"106 km NNE of Calama, Chile"
2021-11-06T02:32:13.067Z,-11.6028,166.6303,140.01,4.3,"133 km SE of Lata, Solomon Islands"
2021-11-06T03:56:19.460Z,-1.3117,120.6152,10.0,5.1,"17 km WNW of Poso, Indonesia"
2021-11-06T05:30:22.706Z,-6.1244,130.1761,162.31,4.5,"290 km W of Tual, Indonesia"
2021-11-06T05:32:07.071Z,-9.495,125.0703,10.0,4.2,"28 km SW of Suai, Timor Leste"
2021-11-06T07:12:36.484Z,-19.8184,-177.498,558.09,4.1,"280 km WNW of Haveluloto, Tonga"
2021-11-06T08:55:15.278Z,-17.0021,-174.3703,218.79,4.4,"131 km SSW of Hihifo, Tonga"
2021-11-06T09:56:23.071Z,-60.1968,-24.8758,10.0,4.7,South Sandwich Islands region
2021-11-06T09:57:23.319Z,-16.2424,-173.6219,73.37,4.6,"36 km SSE of Hihifo, Tonga"
2021-11-06T13:03:05.654Z,-21.245,-174.0383,10.0,5.3,"95 km E of ‘Ohonua, Tonga"
2021-11-06T14:37:36.731Z,-0.0451,124.2812,34.0,6.0,"150 km ESE of Gorontalo, Indonesia"
2021-11-06T15:13:21.649Z,-58.5787,-23.3634,23.5,5.4,South Sandwich Islands region
2021-11-06T16:01:56.326Z,-3.4755,134.0315,16.44,4.8,"163 km W of Nabire, Indonesia"
2021-11-06T16:12:12.457Z,-3.5054,134.159,10.0,4.4,"149 km W of Nabire, Indonesia"
2021-11-06T16:53:23.713Z,-55.9233,-124.3098,10.0,4.7,southern East Pacific Rise
2021-11-06T17:18:20.556Z,-4.2782,133.6751,10.0,4.1,"181 km NE of Tual, Indonesia"
2021-11-06T18:27:31.583Z,-19.2633,-177.3324,567.76,4.0,Fiji region
2021-11-06T19:00:36.916Z,-11.8748,-73.4439,43.64,4.8,"55 km WNW of Pangoa, Peru"
2021-11-06T19:20:34.035Z,-52.3386,12.8552,10.0,4.4,southwest of Africa
2021-11-06T20:31:26.075Z,-18.2861,-69.5349,130.63,4.1,"72 km SE of Palca, Peru"
2021-11-06T20:32:52.918Z,-24.3381,179.941,514.13,4.7,south of the Fiji Islands
2021-11-06T21:08:35.583Z,-34.091,-179.7818,35.0,4.4,south of the Kermadec Islands
2021-11-06T21:24:55.638Z,-12.131,165.3752,10.0,4.7,"162 km SSW of Lata, Solomon Islands"
2021-11-06T22:52:22.593Z,-18.0494,-177.9088,601.32,4.3,"293 km E of Levuka, Fiji"
2021-11-06T23:17:35.226Z,-3.6878,140.1071,68.44,4.4,"134 km SSW of Abepura, Indonesia"
2021-11-06T23:24:55.044Z,-7.4829,128.1546,171.24,4.0,"171 km NE of Lospalos, Timor Leste"
2021-11-07T03:16:45.385Z,-40.3237,173.4511,219.1,5.2,"80 km NE of Takaka, New Zealand"
2021-11-07T03:39:33.960Z,-19.2796,-173.5095,10.0,5.4,"85 km SE of Neiafu, Tonga"
2021-11-07T04:36:34.408Z,-7.343,116.7678,10.0,4.3,"128 km N of Labuan Lombok, Indonesia"
2021-11-07T07:45:52.748Z,-25.505,-179.9031,502.86,4.3,south of the Fiji Islands
2021-11-07T08:47:12.754Z,-30.3262,-177.8098,35.0,4.4,"Kermadec Islands, New Zealand"
2021-11-07T11:38:23.908Z,-17.0725,-173.6883,35.0,4.2,"124 km S of Hihifo, Tonga"
2021-11-07T12:43:47.060Z,-57.7274,-25.29,35.0,4.5,South Sandwich Islands region
2021-11-07T15:23:08.999Z,-29.7756,179.7612,454.58,4.1,Kermadec Islands region
2021-11-07T16:28:17.088Z,-2.895,129.3895,10.0,4.7,"71 km NE of Amahai, Indonesia"
2021-11-07T18:50:23.404Z,-57.8508,-25.4189,50.91,5.2,South Sandwich Islands region
2021-11-07T19:43:19.622Z,-2.0519,125.6722,27.71,4.4,"Pulau-Pulau Sula, Indonesia"
2021-11-07T22:42:12.901Z,-20.9948,-178.4639,583.3,4.2,Fiji region
2021-11-08T03:08:59.579Z,-34.4068,-179.9433,61.26,4.2,south of the Kermadec Islands
2021-11-08T04:12:15.539Z,-7.147,154.8379,10.0,4.6,"116 km SW of Panguna, Papua New Guinea"
2021-11-08T04:26:45.350Z,-49.9278,115.9643,10.0,4.2,western Indian-Antarctic Ridge
2021-11-08T04:52:46.930Z,-29.1954,-71.0909,77.64,4.6,"75 km SSW of Vallenar, Chile"
2021-11-08T05:05:56.449Z,-0.5846,123.5502,10.0,5.4,"Sulawesi, Indonesia"
2021-11-08T05:44:26.513Z,-60.4852,-27.0627,10.0,4.5,South Sandwich Islands region
2021-11-08T06:16:27.311Z,-33.9898,-73.3434,10.0,4.7,"166 km WSW of San Antonio, Chile"
2021-11-08T06:28:01.741Z,-22.6282,-174.5784,10.0,4.2,"148 km SSE of ‘Ohonua, Tonga"
2021-11-08T07:10:42.164Z,-57.2294,-25.5787,35.0,4.4,South Sandwich Islands region
2021-11-08T08:18:05.028Z,-57.2595,-25.6367,35.0,4.2,South Sandwich Islands region
2021-11-08T08:31:07.558Z,-7.1224,126.5384,396.36,4.2,"Kepulauan Barat Daya, Indonesia"
2021-11-08T10:06:02.368Z,-35.5095,-71.3732,97.08,4.2,"10 km ENE of San Clemente, Chile"
2021-11-08T11:16:01.195Z,-57.3355,-25.2969,35.0,4.3,South Sandwich Islands region
2021-11-08T13:30:41.579Z,-18.2813,-178.2663,604.48,4.2,"256 km E of Levuka, Fiji"
2021-11-08T16:02:49.666Z,-25.5762,-178.4347,331.59,4.5,south of the Fiji Islands
2021-11-08T16:13:05.280Z,-6.2627,130.3092,121.57,4.4,"279 km WSW of Tual, Indonesia"
2021-11-08T16:49:53.786Z,-7.201,154.9211,9.95,4.5,"115 km SSW of Panguna, Papua New Guinea"
2021-11-08T17:21:26.299Z,-58.2437,-25.5985,79.49,4.6,South Sandwich Islands region
2021-11-08T17:23:01.854Z,-56.6547,-25.0301,10.0,5.0,South Sandwich Islands region
2021-11-08T17:49:42.814Z,-7.3066,129.1939,107.56,4.4,"276 km ENE of Lospalos, Timor Leste"
2021-11-08T17:55:37.822Z,-17.9517,-174.3218,67.18,4.2,"85 km NNW of Neiafu, Tonga"
2021-11-08T20:07:54.749Z,-0.2326,125.1227,49.72,4.7,"171 km S of Tondano, Indonesia"
2021-11-08T20:55:51.336Z,-22.3444,-179.2381,577.4,4.3,south of the Fiji Islands
2021-11-09T00:14:06.040Z,-47.3267,32.1154,10.0,4.7,Prince Edward Islands region
2021-11-09T01:24:30.832Z,-3.5633,152.9277,10.0,4.5,"110 km NE of Rabaul, Papua New Guinea"
2021-11-09T01:34:23.328Z,-17.4164,-178.5763,598.61,4.2,"234 km ENE of Levuka, Fiji"
2021-11-09T02:04:19.530Z,-40.0901,173.9931,170.41,4.2,"55 km SW of Patea, New Zealand"
2021-11-09T02:19:08.209Z,-5.4481,123.1961,10.0,4.8,"94 km SE of Katabu, Indonesia"
2021-11-09T02:44:30.225Z,-36.3779,-99.3157,10.0,4.6,southeast of Easter Island
2021-11-09T02:59:49.857Z,-38.4005,-72.3864,60.49,4.3,"15 km NNE of Lautaro, Chile"
2021-11-09T04:51:26.157Z,-6.3374,133.1651,10.0,4.3,"90 km SSE of Tual, Indonesia"
2021-11-09T05:03:23.644Z,-58.7732,-25.1035,26.69,4.5,South Sandwich Islands region
2021-11-09T07:03:45.176Z,-49.5746,125.8865,10.0,4.6,western Indian-Antarctic Ridge
2021-11-09T08:01:03.138Z,-8.3656,106.7549,24.32,4.3,"149 km SSW of Banjar, Indonesia"
2021-11-09T11:03:52.577Z,-24.1297,179.9159,518.86,4.1,south of the Fiji Islands
2021-11-09T11:58:23.902Z,-4.9118,153.9734,170.98,4.3,"199 km ESE of Kokopo, Papua New Guinea"
2021-11-09T12:08:17.561Z,-18.253,-178.1405,553.92,4.0,"269 km E of Levuka, Fiji"
2021-11-09T12:24:36.685Z,-19.8032,133.9289,10.0,4.1,"32 km WSW of Tennant Creek, Australia"
2021-11-09T13:06:02.131Z,-17.4026,-179.0452,579.39,4.1,"188 km ENE of Levuka, Fiji"
2021-11-09T13:36:00.280Z,-57.772,-23.1337,10.0,4.5,South Sandwich Islands region
2021-11-09T14:45:33.264Z,-19.6714,-69.5008,102.43,4.0,"90 km NE of Iquique, Chile"
2021-11-09T17:39:35.828Z,-29.8892,75.399,10.0,4.5,Mid-Indian Ridge
2021-11-09T17:52:06.502Z,-29.9696,75.24,10.0,4.5,Mid-Indian Ridge
2021-11-09T19:33:27.206Z,-18.1325,-178.0751,589.56,4.2,"276 km E of Levuka, Fiji"
2021-11-10T00:25:25.395Z,-59.7043,-26.7153,83.54,4.3,South Sandwich Islands region
2021-11-10T01:27:17.386Z,-16.6523,176.9889,10.0,4.6,"117 km NNW of Lautoka, Fiji"
